"","YOB","GrandParentType","CoupleType","BirthPlaceMom","BirthPlaceDad","LAHusband","LAWife","HusbandEducation","WifeEducation","Husband_ftotval","Fertility"
"240",1993,"Hispanic paternal grandfather","Hispanic-Hispanic","Peru","Peru",1,1,12,12,9.14863109588623,1.71428571428571
"241",1993,"Hispanic paternal grandfather","Hispanic-Hispanic","USA","USA",1,1,12,12,10.3349831899007,2.8
"242",1993,"Hispanic paternal grandfather","Hispanic-White","Peru","USA",1,0,11,11,10.7390022277832,4
"243",1993,"Hispanic paternal grandfather","White-Hispanic","USA","USA",0,1,11.5,11.5,10.586142539978,3.83333333333333
"244",1993,"Hispanic paternal grandfather","White-White","Mexico","USA",0,0,12.7272727272727,12.7272727272727,10.6446914672852,1.94444444444444
"245",1993,"Hispanic paternal grandfather","White-White","USA","Cuba",0,0,15.4285714285714,15.4285714285714,11.3179054260254,2.55555555555556
"246",1993,"Hispanic paternal grandfather","White-White","USA","El Salvador",0,0,8.66666666666667,8.66666666666667,10.0946445465088,2.09090909090909
"247",1993,"Hispanic paternal grandfather","White-White","USA","Mexico",0,0,11.0212765957447,11.0212765957447,9.8827117284139,2.90322580645161
"248",1993,"Hispanic paternal grandfather","White-White","USA","Peru",0,0,14.8571428571429,14.8571428571429,9.96898794174194,2.42857142857143
"249",1993,"Hispanic paternal grandfather","White-White","USA","USA",0,0,14.3640350877193,14.3640350877193,10.7777070999146,2.05299539170507
"250",1993,"Hispanic paternal grandmother","White-White","Cuba","USA",0,0,14,14,10.1419830322266,1
"251",1993,"Hispanic paternal grandmother","White-White","USA","El Salvador",0,0,10,10,10.2729902267456,1
"252",1993,"Hispanic paternal grandmother","White-White","USA","USA",0,0,15.032967032967,15.032967032967,10.8129515367396,2.1421052631579
"253",1994,"Hispanic maternal grandfather","White-White","Colombia","USA",0,0,15.1111111111111,15.1111111111111,11.397225856781,1.44444444444444
"254",1994,"Hispanic maternal grandfather","White-White","Ecuador","USA",0,0,14,14,10.2827434539795,1.33333333333333
"255",1994,"Hispanic maternal grandfather","White-White","El Salvador","USA",0,0,14,14,10.9323873519897,1
"256",1994,"Hispanic maternal grandfather","White-White","Mexico","USA",0,0,8.6,8.6,10.0578765869141,2.08695652173913
"257",1994,"Hispanic maternal grandfather","White-White","Peru","USA",0,0,15,15,9.30141448974609,2.33333333333333
